
============================================================
worker start: evap=0.01 size=25 worker_id=0/2
============================================================
======================================================================
Ablation Study for CP-DCM-ACO
Parameters to test: evap
Puzzle sizes: 25x25
Repetitions per instance: 100
Total configurations: 1
Output directory: results\ablation
======================================================================

======================================================================
Puzzle size: 25x25
======================================================================

  Parameter: BVE (Evaporation Rate of BestPher) (evap)

[Config 1/1] evap=0.01 on 25x25
  [evap=0.01 [25x25]] (1/50) inst25x25_40_10.txt 
    Rep 55/100: OK (time=58.6206s)
    Rep 56/100: OK (time=40.3348s)
    Rep 57/100: OK (time=15.4366s)
    Rep 58/100: OK (time=76.7112s)
    Rep 59/100: FAIL (time=121.2010s)
    Rep 60/100: FAIL (time=120.7260s)
    Rep 61/100: FAIL (time=120.4710s)
    Rep 62/100: OK (time=4.6401s)
    Rep 63/100: FAIL (time=120.8210s)
    Rep 64/100: OK (time=10.0582s)
    Rep 65/100: OK (time=9.1574s)
    Rep 66/100: OK (time=6.2591s)
    Rep 67/100: OK (time=24.5437s)
    Rep 68/100: OK (time=53.8717s)
    Rep 69/100: OK (time=19.0175s)
    Rep 70/100: OK (time=31.4866s)
    Rep 71/100: FAIL (time=120.0640s)
    Rep 72/100: FAIL (time=120.3980s)
    Rep 73/100: OK (time=11.2127s)
    Rep 74/100: OK (time=30.8332s)
    Rep 75/100: OK (time=2.7455s)
    Rep 76/100: OK (time=3.4329s)
    Rep 77/100: OK (time=9.0074s)
    Rep 78/100: OK (time=13.1384s)
    Rep 79/100: OK (time=0.4081s)
    Rep 80/100: OK (time=15.2870s)
    Rep 81/100: FAIL (time=120.4710s)
    Rep 82/100: OK (time=10.7195s)
    Rep 83/100: OK (time=60.9659s)
    Rep 84/100: OK (time=1.4796s)
