
============================================================
worker start: convThresh=1.0 size=25 worker_id=0/2
============================================================
======================================================================
Ablation Study for CP-DCM-ACO
Parameters to test: convThresh
Puzzle sizes: 25x25
Repetitions per instance: 100
Total configurations: 1
Output directory: results\ablation
======================================================================

======================================================================
Puzzle size: 25x25
======================================================================

  Parameter: Convergence Threshold (convThresh)

[Config 1/1] convThresh=1 on 25x25
  [convThresh=1 [25x25]] (1/50) inst25x25_40_10.txt 
    Rep 82/100: OK (time=8.8139s)
    Rep 83/100: OK (time=1.9517s)
    Rep 84/100: OK (time=2.3087s)
    Rep 85/100: OK (time=1.9967s)
    Rep 86/100: OK (time=1.9913s)
    Rep 87/100: OK (time=1.1283s)
    Rep 88/100: OK (time=1.0299s)
    Rep 89/100: OK (time=0.5968s)
    Rep 90/100: OK (time=1.2759s)
    Rep 91/100: OK (time=0.7878s)
    Rep 92/100: OK (time=2.6686s)
    Rep 93/100: OK (time=0.6339s)
    Rep 94/100: OK (time=9.3604s)
    Rep 95/100: OK (time=7.9191s)
    Rep 96/100: OK (time=3.0756s)
    Rep 97/100: OK (time=2.3029s)
    Rep 98/100: OK (time=4.5111s)
    Rep 99/100: OK (time=3.9515s)
    Rep 100/100: OK (time=2.2175s)
    => success%=100.0 time_mean=3.031925 cycles_mean=119.19
  [convThresh=1 [25x25]] (5/50) inst25x25_40_9.txt 
    Rep 1/100: OK (time=8.4145s)
    Rep 2/100: OK (time=1.2705s)
    Rep 3/100: OK (time=6.7149s)
    Rep 4/100: OK (time=2.0278s)
    Rep 5/100: OK (time=0.7819s)
    Rep 6/100: OK (time=20.8314s)
    Rep 7/100: OK (time=4.3044s)
    Rep 8/100: OK (time=2.6227s)
    Rep 9/100: OK (time=6.8335s)
    Rep 10/100: OK (time=17.0226s)
    Rep 11/100: OK (time=3.5421s)
    Rep 12/100: OK (time=3.3173s)
    Rep 13/100: OK (time=3.6622s)
    Rep 14/100: OK (time=8.0400s)
    Rep 15/100: OK (time=4.7480s)
    Rep 16/100: OK (time=3.9917s)
    Rep 17/100: OK (time=2.4368s)
    Rep 18/100: OK (time=5.2408s)
    Rep 19/100: OK (time=3.2948s)
