
============================================================
worker start: entropyPct=97.125 size=25 worker_id=0/2
============================================================
======================================================================
Ablation Study for CP-DCM-ACO
Parameters to test: entropyPct
Puzzle sizes: 25x25
Repetitions per instance: 100
Total configurations: 1
Output directory: results\ablation
======================================================================

======================================================================
Puzzle size: 25x25
======================================================================

  Parameter: Entropy Threshold (% of Max Entropy) (entropyPct)

[Config 1/1] entropyPct=97.125 on 25x25
  [entropyPct=97.125 [25x25]] (1/50) inst25x25_40_10.txt 
    Rep 34/100: OK (time=4.2077s)
    Rep 35/100: OK (time=6.8411s)
    Rep 36/100: OK (time=4.5760s)
    Rep 37/100: OK (time=1.5194s)
    Rep 38/100: OK (time=4.5187s)
    Rep 39/100: OK (time=3.6592s)
    Rep 40/100: OK (time=5.3332s)
    Rep 41/100: OK (time=5.8119s)
    Rep 42/100: OK (time=2.3690s)
    Rep 43/100: OK (time=2.1901s)
    Rep 44/100: OK (time=13.9557s)
    Rep 45/100: OK (time=2.9671s)
    Rep 46/100: OK (time=1.5274s)
    Rep 47/100: OK (time=3.1627s)
    Rep 48/100: OK (time=3.7557s)
    Rep 49/100: OK (time=6.6653s)
    Rep 50/100: OK (time=11.4757s)
    Rep 51/100: OK (time=4.3123s)
    Rep 52/100: OK (time=2.5423s)
    Rep 53/100: OK (time=9.1203s)
    Rep 54/100: OK (time=1.3751s)
    Rep 55/100: OK (time=2.9449s)
    Rep 56/100: OK (time=2.9370s)
    Rep 57/100: OK (time=4.4633s)
    Rep 58/100: OK (time=13.3904s)
    Rep 59/100: OK (time=3.3534s)
    Rep 60/100: OK (time=3.5887s)
    Rep 61/100: OK (time=6.7430s)
    Rep 62/100: OK (time=2.9221s)
    Rep 63/100: OK (time=1.2429s)
    Rep 64/100: OK (time=25.1266s)
    Rep 65/100: OK (time=2.4528s)
    Rep 66/100: OK (time=6.1592s)
    Rep 67/100: OK (time=3.6341s)
    Rep 68/100: OK (time=11.8626s)
    Rep 69/100: OK (time=7.9910s)
    Rep 70/100: OK (time=9.4943s)
    Rep 71/100: OK (time=0.5537s)
    Rep 72/100: OK (time=0.4118s)
    Rep 73/100: OK (time=5.1102s)
    Rep 74/100: OK (time=7.8960s)
    Rep 75/100: OK (time=7.8244s)
    Rep 76/100: OK (time=1.9769s)
    Rep 77/100: OK (time=0.3570s)
    Rep 78/100: OK (time=7.9059s)
    Rep 79/100: OK (time=8.6697s)
    Rep 80/100: OK (time=2.6908s)
    Rep 81/100: OK (time=3.9905s)
    Rep 82/100: OK (time=1.4236s)
    Rep 83/100: OK (time=5.9454s)
    Rep 84/100: OK (time=0.6418s)
    Rep 85/100: OK (time=1.2912s)
    Rep 86/100: OK (time=7.3995s)
    Rep 87/100: OK (time=18.0913s)
    Rep 88/100: OK (time=10.2187s)
    Rep 89/100: OK (time=1.0581s)
    Rep 90/100: OK (time=2.0898s)
    Rep 91/100: OK (time=2.6559s)
    Rep 92/100: OK (time=0.4718s)
    Rep 93/100: OK (time=1.4218s)
    Rep 94/100: OK (time=2.0867s)
    Rep 95/100: OK (time=1.2632s)
    Rep 96/100: OK (time=7.7579s)
    Rep 97/100: OK (time=10.3089s)
    Rep 98/100: OK (time=3.5560s)
    Rep 99/100: OK (time=5.3273s)
    Rep 100/100: OK (time=5.4855s)
    => success%=100.0 time_mean=5.68254 cycles_mean=218.96
  [entropyPct=97.125 [25x25]] (6/50) inst25x25_45_1.txt 
    Rep 1/100: OK (time=19.2566s)
    Rep 2/100: OK (time=90.0708s)
    Rep 3/100: FAIL (time=121.4460s)
    Rep 4/100: FAIL (time=120.9560s)
    Rep 5/100: OK (time=1.6877s)
    Rep 6/100: OK (time=3.9657s)
    Rep 7/100: OK (time=19.0768s)
    Rep 8/100: OK (time=96.0743s)
    Rep 9/100: OK (time=4.4890s)
    Rep 10/100: OK (time=72.4205s)
    Rep 11/100: OK (time=112.3540s)
    Rep 12/100: OK (time=88.4071s)
    Rep 13/100: OK (time=2.7449s)
    Rep 14/100: OK (time=7.6894s)
    Rep 15/100: FAIL (time=121.1890s)
    Rep 16/100: FAIL (time=120.2640s)
    Rep 17/100: OK (time=56.9801s)
    Rep 18/100: OK (time=19.9941s)
    Rep 19/100: OK (time=6.4444s)
    Rep 20/100: OK (time=15.5041s)
